a,MDEwOlJlcG9zaXRvcnk2Mjk5OTMxOA==,MDEwOlJlcG9zaXRvcnk2OTAyNDg1MQ==,MDEwOlJlcG9zaXRvcnk3Mjk4NjUyOA==,MDEwOlJlcG9zaXRvcnk3Mzk1Nzc3NA==,MDEwOlJlcG9zaXRvcnk3NzM5Nzc3Mw==,MDEwOlJlcG9zaXRvcnk3ODkzODg1MA==,MDEwOlJlcG9zaXRvcnk4MjYxMTI5OA==,MDEwOlJlcG9zaXRvcnk4MTg3MzIyOQ==,MDEwOlJlcG9zaXRvcnk4MTI4MTgzMQ==,MDEwOlJlcG9zaXRvcnk4MzAwMDY3OQ==,MDEwOlJlcG9zaXRvcnk4NjYwNjk3Mw==,MDEwOlJlcG9zaXRvcnk4NzIwMDAxMg==,MDEwOlJlcG9zaXRvcnk4NzY4NzYxMw==,MDEwOlJlcG9zaXRvcnk4ODQwNTE4MQ==,MDEwOlJlcG9zaXRvcnk4OTk2MDYwNw==,MDEwOlJlcG9zaXRvcnk5MDU2NDg4Ng==,MDEwOlJlcG9zaXRvcnk5MDU2Nzc3Mw==,MDEwOlJlcG9zaXRvcnk5MTAxMzI3Nw==,MDEwOlJlcG9zaXRvcnk5MTg5NTYwOQ==,MDEwOlJlcG9zaXRvcnk5MTYxODMyMw==,MDEwOlJlcG9zaXRvcnk5MzEzNjA3MQ==,MDEwOlJlcG9zaXRvcnk5NTAwNjUwNg==,MDEwOlJlcG9zaXRvcnk5ODMwNTkzMA==,MDEwOlJlcG9zaXRvcnkxMDc4MzcwMDc=,MDEwOlJlcG9zaXRvcnkxMDcxMDQ5NDI=,MDEwOlJlcG9zaXRvcnkxMDg1NTM4MDI=,MDEwOlJlcG9zaXRvcnkxMDg4NDUyMzI=,MDEwOlJlcG9zaXRvcnkxMDgyMjUyMTY=,MDEwOlJlcG9zaXRvcnkxMDI5OTMzMjU=,MDEwOlJlcG9zaXRvcnkxMDk0MzY4NTM=,MDEwOlJlcG9zaXRvcnkxMDU4MzUyMjA=,MDEwOlJlcG9zaXRvcnkxMDUzNDAwMzQ=,MDEwOlJlcG9zaXRvcnkxMjc2NDI5OTg=,MDEwOlJlcG9zaXRvcnkxMjE4ODA0ODg=,MDEwOlJlcG9zaXRvcnkxMjI2NTQ3MTY=,MDEwOlJlcG9zaXRvcnkxMjk0NjA3OTg=,MDEwOlJlcG9zaXRvcnkxMjkxMjUzNjI=,MDEwOlJlcG9zaXRvcnkxMjM4MDQwNjM=,MDEwOlJlcG9zaXRvcnkxMjY3NTA2NTA=,MDEwOlJlcG9zaXRvcnkxMTE0NTU0OTk=,MDEwOlJlcG9zaXRvcnkxMTg4NzQ5NjQ=,MDEwOlJlcG9zaXRvcnkxMTM1MDI0NDQ=,MDEwOlJlcG9zaXRvcnkxMTM1NDQyNDM=,MDEwOlJlcG9zaXRvcnkxMTM4MTQyNjk=,MDEwOlJlcG9zaXRvcnkxMTY2NzIxMzU=,MDEwOlJlcG9zaXRvcnkxMzA0NTUxMzU=,MDEwOlJlcG9zaXRvcnkxMzAzNjc0MjY=,MDEwOlJlcG9zaXRvcnkxMzIwMTg2MDU=,MDEwOlJlcG9zaXRvcnkxMzIzMTIwODQ=,MDEwOlJlcG9zaXRvcnkxMzQ2NDk1NTA=,MDEwOlJlcG9zaXRvcnkxMzQ3Njk0NTg=,MDEwOlJlcG9zaXRvcnkxNDA2MTQ3OTI=,MDEwOlJlcG9zaXRvcnkxNDEwNTUwNTc=,MDEwOlJlcG9zaXRvcnkxNDEzMzU2OA==,MDEwOlJlcG9zaXRvcnkxNDIyMDU1MjE=,MDEwOlJlcG9zaXRvcnkxNDQ2MTc5NDU=,MDEwOlJlcG9zaXRvcnkxNDU1NTAxMDE=,MDEwOlJlcG9zaXRvcnkxNDU4MTA3ODY=,MDEwOlJlcG9zaXRvcnkxNDUxMDgzNDM=,MDEwOlJlcG9zaXRvcnkxNDY1NTk2OTI=,MDEwOlJlcG9zaXRvcnkxNjEwODE3MzY=,MDEwOlJlcG9zaXRvcnkxNjgwODkzOTk=,MDEwOlJlcG9zaXRvcnkxNjM3OTg5MDA=,MDEwOlJlcG9zaXRvcnkxNjMwMTIyNzg=,MDEwOlJlcG9zaXRvcnkxNjQwMDU0ODg=,MDEwOlJlcG9zaXRvcnkxNTgwOTY4MTM=,MDEwOlJlcG9zaXRvcnkxNTgzNjU4MDY=,MDEwOlJlcG9zaXRvcnkxNzI2NzMyNjk=,MDEwOlJlcG9zaXRvcnkxNzk5MzI5ODk=,MDEwOlJlcG9zaXRvcnkxNzUwMzEwODU=,MDEwOlJlcG9zaXRvcnkxODAyNDEwNjc=,MDEwOlJlcG9zaXRvcnkxODE0NjU2MTQ=,MDEwOlJlcG9zaXRvcnkxODQ0NDkyNDU=,MDEwOlJlcG9zaXRvcnkxODQ0OTgwMDg=,MDEwOlJlcG9zaXRvcnkxODY0MjgwMzM=,MDEwOlJlcG9zaXRvcnkxOTIyNTQzMTM=,MDEwOlJlcG9zaXRvcnkyMDA4OTA1MDU=,MDEwOlJlcG9zaXRvcnkyMDgxNDAxODA=,MDEwOlJlcG9zaXRvcnkyMDM3MDI3OTY=,MDEwOlJlcG9zaXRvcnkyMDQ4MjQ2MDc=,MDEwOlJlcG9zaXRvcnkyMjc5ODUwODk=,MDEwOlJlcG9zaXRvcnkyMjEzMzc0NTM=,MDEwOlJlcG9zaXRvcnkyMjI2NDEwNTA=,MDEwOlJlcG9zaXRvcnkyMjk1ODU0NDY=,MDEwOlJlcG9zaXRvcnkyMTU4Mjg0NjM=,MDEwOlJlcG9zaXRvcnkyMzAyMjAxODI=,MDEwOlJlcG9zaXRvcnkyMzE5NzM1MDM=,MDEwOlJlcG9zaXRvcnkyMzUyNzQ4NjU=,MDEwOlJlcG9zaXRvcnkyMzUzNjg2NDE=,MDEwOlJlcG9zaXRvcnkyNDg0MjczMjk=,MDEwOlJlcG9zaXRvcnkyNjExMDI0Nzk=,MDEwOlJlcG9zaXRvcnkyNjI1Mjk2NA==,MDEwOlJlcG9zaXRvcnkyNTE2MjYyMjI=,MDEwOlJlcG9zaXRvcnkyNTY5Mjg5ODQ=,MDEwOlJlcG9zaXRvcnkyOTg2MDQ2Mw==,MDEwOlJlcG9zaXRvcnkzNDEyMDE0MA==
MDEwOlJlcG9zaXRvcnk2Mjk5OTMxOA==,1.0,0.8032807953751452,0.8636178535863908,0.16895559327562037,0.8894999085999528,0.1914817591737765,5.233641464887848E-4,0.08819064714024372,0.9373093148164602,0.35056359131123765,0.9954566228393297,0.9954566228393322,0.6483246337603306,0.9636773884924867,0.8582291357578077,0.0029654121678738612,0.8904231589894823,0.8411544255713487,0.7676970113621134,0.3293690135797944,0.9837749410120574,0.9945154253012287,0.9593728099060024,0.607496387398914,0.9812704454220543,0.979799900663327,0.9403058950856715,0.8614165269122015,0.819490590882761,0.3149908628970761,0.5305082405020899,0.9808950954417867,0.905965675171614,0.06452638193486084,0.007872861790083946,0.5464118335803917,0.974393496889884,0.9869819179776044,0.8176441189275369,0.9191560182846428,0.9595474670661773,2.4751729784501736E-4,0.9630898925713469,0.5143156286585723,0.13727880736513345,0.9716409832718174,0.9029719770661045,0.9241360972979634,0.9833970678295134,0.9541700312429139,0.9772160912413719,0.9927191194141572,0.0012028826829885112,7.714758687957614E-5,0.001172641248733128,0.8808780079578602,0.7081563899865059,0.9381035852970873,0.9987044131917033,0.9219802517698017,0.9671844019983747,0.9719614226542257,0.9473344726666033,0.1399801742588136,0.9734092739105555,0.5996297208886046,0.9726853300845034,0.9879093628901848,0.04133471641135295,0.11082499392333257,0.9931416213288615,0.8283786794012031,0.6441039678862768,0.01710915137020617,0.9954130761939239,7.438420112327503E-7,0.9936136812750803,0.9881625037450413,0.18921848523603912,0.9191810639111985,0.9785430606565731,0.9902276780679724,1.610442717743586E-5,0.6415551331348303,0.988475131975091,0.8077878738380099,0.8028684793036238,0.9954010384125398,5.267966294384197E-4,0.2599776713589744,0.8928052638854527,0.11752115844971339,0.9542278380225858,0.9640150412451507,0.702857755241566,0.4168519600920615
MDEwOlJlcG9zaXRvcnk2OTAyNDg1MQ==,0.8032807953751452,0.9999999999999998,0.7152378039898449,0.12790879532032448,0.7210739544859138,0.15389985406034248,3.721066336983144E-4,0.08950398186770789,0.7585219159511923,0.33749328175861487,0.8069670446077953,0.8069670446077978,0.5255401480372439,0.7812755944641789,0.6955026621728513,4.865983214918825E-5,0.7217942614131321,0.8128420654398123,0.6162808798610615,0.2930765342303441,0.797502942973603,0.8062542248759339,0.7765158637345922,0.49662225520806413,0.7954605021041115,0.8002142308216469,0.7622741014380355,0.7456702338198723,0.6643286907181086,0.2553106044292278,0.4251399551531441,0.7994029617287856,0.7317512493016707,0.05230624897968095,1.4267253896327418E-4,0.43795595822802524,0.8536053139452103,0.8001139457420908,0.6628242720463587,0.7402450389889371,0.7912016956163435,3.23313803318691E-4,0.7806268257407855,0.40479918567309914,0.09726476150892746,0.8106254088390361,0.7321806029777114,0.749147214317831,0.7971408845575787,0.7735971848839193,0.7967077287300987,0.804389713585814,0.0023999014479054617,5.5623957585242045E-6,1.0789972671285036E-5,0.7093667827186215,0.5705969603531748,0.8456485961537029,0.8002273591667672,0.7474433699328141,0.7815605219852806,0.785467930995826,0.7679281691824004,0.10593129582828002,0.8173109979631378,0.48022876025027605,0.8354829300704112,0.8370124483094671,0.03117659540154203,0.0882249935125341,0.8050877524999084,0.6715037909211208,0.5215321258686096,3.896195584001652E-5,0.8069326479427966,2.3869167791328806E-5,0.8055101016466465,0.8010780139074497,0.22512295807761515,0.7432028721712141,0.7929294618417809,0.8292825580855945,4.68226637859704E-5,0.5200260757325387,0.7981617968886355,0.6551345924075903,0.6508225223814613,0.8045077888302263,2.9463854465060826E-4,0.20378316401892868,0.7183839259088749,0.08383173883044087,0.7728511478381654,0.7814759299095304,0.5698006127734386,0.32887006379910544
MDEwOlJlcG9zaXRvcnk3Mjk4NjUyOA==,0.8636178535863908,0.7152378039898449,1.0000000000000002,0.40899009609058906,0.7684857533260704,0.18010797577737248,5.344398808286046E-5,0.07624938060986874,0.8360564120648243,0.31520869642208255,0.8600410123533804,0.8600410123533849,0.560202039216496,0.832624805195475,0.7492750294760038,0.07464451171253254,0.7692718346718602,0.7428107494284028,0.8414934248917939,0.46285230496531843,0.8499908711177617,0.8592545533771689,0.8639252633725213,0.6181001381976854,0.8477814983514248,0.8486239386452601,0.8124017297377196,0.7620644359315512,0.7080017392510184,0.2721238098695973,0.647418499393313,0.8482029141723222,0.8575851535027135,0.05574705704769263,0.19225904025282436,0.4784253587207958,0.848782394926592,0.8527238113074189,0.7064008975390565,0.9451293614595973,0.8371693183343628,5.856404554055427E-5,0.8482465242071914,0.8012095455239707,0.5115656508722696,0.8451739726148878,0.7802036103517761,0.7984151931963367,0.8495424880822592,0.8241881913865682,0.845075626202889,0.8671739407075729,0.002603809348703424,5.1084055471457974E-5,0.029138496034478198,0.9003945249734638,0.7093991214696694,0.8665563394836402,0.8529585485261594,0.7966587802234322,0.9086889919494427,0.9206850823964395,0.818450745319782,0.3389115496791009,0.8439832478626269,0.6890007469418142,0.8453576372654604,0.859954724584059,0.0999614497884224,0.15009183702364318,0.8580396610979082,0.715680953325143,0.5743539468184201,0.42037500079575013,0.8600072523223076,3.303996939845747E-6,0.858434395351788,0.853740012461648,0.20122393552329387,0.8523376913101466,0.8549065417588801,0.8602787519007191,2.442136107734483E-5,0.5542396882481536,0.8940468578443379,0.6980669204265573,0.6936403154570536,0.87809736742318,5.3896892260909885E-5,0.43448547198518284,0.9296815865349197,0.43565189009724303,0.8477741103093107,0.8328683258476675,0.6072482393306713,0.625393793673816
MDEwOlJlcG9zaXRvcnk3Mzk1Nzc3NA==,0.16895559327562037,0.12790879532032448,0.40899009609058906,1.0000000000000002,0.3549733221007122,0.47615443550067493,0.008197864056371048,0.014035687739305691,0.3358640087567756,0.11809767506136815,0.1585800631791487,0.15858006317914777,0.20600364403631355,0.20025722821221445,0.38303274414740135,0.16640668320487959,0.14196111910578096,0.18941642753598192,0.4617654795960441,0.3150970817259184,0.16210724568679563,0.15867106030298467,0.3204842161602028,0.4332875387306883,0.23618878999410214,0.16822432934204845,0.3035622232626556,0.35256104686861345,0.13045648749100186,0.5010207195359587,0.5709017482890937,0.16202091676626376,0.2866544231131465,0.09245970540920265,0.5661906789149709,0.33551283196759607,0.2121258903793784,0.15718416607325322,0.3514945652404456,0.40739249892626705,0.2850725538570586,0.4684006208498953,0.15277124022405603,0.6927897688300015,0.7585916809296681,0.2648128654705646,0.14426798426370166,0.27396857635940886,0.18012848506963514,0.18745405127396692,0.16192542137679883,0.19522029032104113,0.05735047913374875,0.11896465004886884,0.4702557931540149,0.4606010721605807,0.44779944069283795,0.30980699284579855,0.15712750997590777,0.31330321640368125,0.3489097443233082,0.2805126769862008,0.18771212502780174,0.35336760467274714,0.155465689053384,0.6673113537742755,0.15522326496579741,0.156615479096223,0.2948025648057913,0.11227312380381504,0.19051997405403684,0.39545758898836103,0.15936745556922716,0.6193341317450246,0.15852941495712503,9.52279059514089E-5,0.15869946611846109,0.19194573097645043,0.06997912327082012,0.41299059169297087,0.2571986903535946,0.15707651232380082,0.24944806038270104,0.15562907021640113,0.22462624487849764,0.1280855626554366,0.408816754333209,0.21390127413475596,0.002967443274171488,0.6004985867034022,0.3838783036290661,0.7987236599540259,0.308128638890487,0.2687067698593112,0.11216928402397278,0.6713678808044049
MDEwOlJlcG9zaXRvcnk3NzM5Nzc3Mw==,0.8894999085999528,0.7210739544859138,0.7684857533260704,0.3549733221007122,0.9999999999999998,0.17123029891820893,1.861149736563743E-5,0.08287255491899606,0.9745121970735513,0.3350705528223181,0.893596920815999,0.8935969208160054,0.6793248447360622,0.9084855231369855,0.9801956466001636,7.764813254934313E-6,0.7993033081730101,0.8117887546463284,0.747119489151845,0.29492386399661985,0.8834775138672273,0.8932086146426458,0.9655741068515605,0.569942009676069,0.95628667032883,0.8913132225321273,0.9899186821285914,0.9620717475952593,0.7361914684052326,0.7085138447939725,0.6676733097816697,0.886208163652949,0.8102334332987053,0.05792168583637075,1.0027872178534057E-5,0.7040454391268037,0.9289859160961716,0.8859497880626371,0.7342471641046805,0.8502081339469281,0.9701733566447687,4.544030631611362E-5,0.8644735210154028,0.4803991198003452,0.10965265221150612,0.9583690172663173,0.8157928089013922,0.9485393656393233,0.8827058372760438,0.8564689505382567,0.8832638795457664,0.9012977378078636,3.513262808212528E-4,3.3613950900641714E-5,2.5588733447535604E-6,0.8892637291259681,0.799982400240054,0.9262569677144659,0.8861523611041443,0.9850702783361136,0.9444523300563442,0.8698304832543035,0.8646937082094589,0.11738289521303837,0.8756315680473754,0.5326548511289616,0.8750948907530836,0.8873718785878989,0.04151888327742128,0.0977936837802296,0.9220296759812484,0.9924466832714482,0.5778094981118805,2.6291241824985044E-5,0.8935605132215696,2.6333686803002363E-6,0.8919472034525253,0.9193591515266487,0.17280986310528446,0.8231867604896695,0.9602087677976652,0.8897070643321058,4.721653071767117E-6,0.6261682548330522,0.8874526944612086,0.7313212688833269,0.9860003337664203,0.9124645133017004,9.064026978989131E-5,0.4521374261756326,0.7954840871682249,0.3493681486254127,0.9568030032724667,0.9743733193797549,0.6309374471366531,0.36450206815171554
MDEwOlJlcG9zaXRvcnk3ODkzODg1MA==,0.1914817591737765,0.15389985406034248,0.18010797577737248,0.47615443550067493,0.17123029891820893,1.0,7.418618730763236E-4,0.033657614135188224,0.18616367857202176,0.15557987289647743,0.19070113828685778,0.19070113828685276,0.1295499131729765,0.2039043764800022,0.17276441534404174,0.0039312083456202376,0.1706111192967595,0.20283800845587183,0.18768621911502434,0.09807532229754432,0.18851996268668483,0.19242886893403674,0.19078730706255353,0.3896311132451537,0.18798194364809795,0.18892016225085553,0.1826764120354855,0.17023543953019424,0.1752905919896276,0.060334658400202676,0.11316721089385942,0.18927582277200325,0.18561090744719408,0.037085350621823894,0.010251447250024193,0.10802578945048724,0.19014860291709063,0.18916624152435343,0.6115173443299495,0.1967989886305615,0.1989652492106948,0.9056862587074669,0.18443280212295707,0.18101342987948177,0.29489929877324333,0.20356302623701447,0.20171448323920635,0.18976394198939764,0.1883831840777883,0.1827106867803418,0.18844764061437172,0.2126280624646949,0.001182391634102186,1.7709372103007814E-4,0.9216980621492018,0.1755747870083372,0.1938345663475715,0.18912198025738913,0.19163792571501892,0.18624728257660225,0.18887719100778624,0.19041520929193967,0.310932971431024,0.17549388380602943,0.19815405491083643,0.3361334241032978,0.19798498478207732,0.19302757528156372,0.1627424340162691,0.13846427563298958,0.1902570321944776,0.15868872477752674,0.14892277020454697,0.03494215218652602,0.19069293706339785,0.0036547193390759998,0.19272845610848838,0.1926744802339099,0.20271816294762793,0.3259443505385129,0.18902021324517007,0.19331435274595782,0.5123221294039381,0.12295579269894452,0.19949342501009426,0.18256029747307315,0.15380136384630336,0.19206193925074547,0.053980194096777644,0.060344767705537004,0.19102773606134046,0.04029278984954632,0.20935908527545183,0.18757467864594607,0.16439067031016866,0.49449461230951786
MDEwOlJlcG9zaXRvcnk4MjYxMTI5OA==,5.233641464887848E-4,3.721066336983144E-4,5.344398808286046E-5,0.008197864056371048,1.861149736563743E-5,7.418618730763236E-4,1.0,0.002820923552900961,0.0010541644174618765,0.16708524633535732,7.995627349665543E-4,7.995627349659447E-4,0.20509768486359858,6.335869150074648E-4,6.992874353424514E-4,0.5895759480042073,0.0014875304403423684,0.002119148495827107,2.9014627206150524E-4,3.455606486191659E-4,0.0023702487774997184,1.2341826461453352E-4,0.011671568460324782,0.045053131745262466,4.67567269074801E-4,9.005643460553923E-4,0.0012008774507273647,0.1345873128219606,3.218300410166843E-4,0.0015567196994713927,0.0026345880937494815,0.11161154580077642,0.008320352290335434,0.17704252309180507,0.013893411672322387,0.34586762595662773,5.614136193302251E-4,0.005064402164641931,5.287430599402098E-4,7.427788015555943E-6,0.03471416412875143,0.023670808457045625,0.0013703953694474893,8.473003020733639E-4,3.8105708930242325E-6,6.819142323471692E-5,0.0036589530876929197,0.0010896748174777603,0.008676279260505678,0.011936519249724623,0.1316364366084865,0.005191184561410285,0.26339388324307744,0.010988714427217916,0.001296838855823776,8.00498251826713E-5,9.250686069239981E-6,0.002636687057387451,7.733062176763884E-4,0.00534859971934783,8.409848987441589E-5,0.01626779020346898,0.015545147466416526,0.006865080790575522,3.69553604901968E-4,0.008202616356733384,4.909781742302015E-4,0.0015382874480793579,0.0010442239178918942,5.812675842723963E-6,6.680128451656937E-4,3.9232710789688905E-4,4.05689643841089E-6,0.007317829685609075,0.0010677017422132864,7.358200621696622E-4,4.8420461024407724E-4,0.06751783879701274,6.691828703407084E-5,0.004289578898515005,1.6276724642567706E-4,7.528068621560589E-4,5.276754723518101E-4,0.0034245283206773484,1.7722103152492676E-5,0.01227256492682687,4.8275508015742515E-4,0.0022945553433987363,0.0471421437891435,0.014113061296255704,0.001328173348448384,0.0015825659501199905,9.50006069723676E-4,2.9207324765513084E-4,0.001989069995523903,1.957958328802835E-5
MDEwOlJlcG9zaXRvcnk4MTg3MzIyOQ==,0.08819064714024372,0.08950398186770789,0.07624938060986874,0.014035687739305691,0.08287255491899606,0.033657614135188224,0.002820923552900961,1.0000000000000002,0.15767739366288294,0.05299860919961316,0.0886864539658886,0.08868645396588391,0.057935140138879494,0.08573110122317106,0.0933913602716326,2.656596935522534E-4,0.49574421698580867,0.25319980479956844,0.08447669904672152,0.397372767879087,0.1204413892492031,0.10242834123286211,0.08527719367576872,0.06274321811822062,0.08741941134424562,0.09620071225474533,0.10265875573944595,0.08594542144580418,0.09230085643513644,0.028044980357412732,0.04647186136789634,0.08731190281119598,0.07984030546967139,0.005748043683673493,0.001104994856465724,0.04808607438987971,0.10557981539061936,0.08791702491431337,0.08244558003601588,0.08368599047190477,0.08572172589272671,0.0017537793921948343,0.08534837460189094,0.044441599356816144,0.011690441035424739,0.10822130883985058,0.18610915975586068,0.08255578181589748,0.08751203774239465,0.08499914327981113,0.08699931240718527,0.08831200449758679,0.005144934103545082,4.7204591370009045E-4,3.1247645046044405E-5,0.07789122268771471,0.06265607798502741,0.13617881037543497,0.08784009829880525,0.12275784839517788,0.08586817058700409,0.08469049212544376,0.09545011592241971,0.13425146113803696,0.10377109198443908,0.06884189922121839,0.11514011413389182,0.10687701700059143,0.23796365337367567,0.009687076853624015,0.08847892180305732,0.07379078802762334,0.06744885843732056,1.0995425606555516E-4,0.08869685802624358,1.7301627078387675E-4,0.08859367241215348,0.08803120270436889,0.15632472640556086,0.08141342303357842,0.08712525440482181,0.1152273794150375,3.9407403017697383E-4,0.7615639184841905,0.1327170051941484,0.27853245186118836,0.07151735954010599,0.0883184281810356,3.273360083347134E-5,0.49240471801336294,0.07911847614362552,0.009319684669760093,0.08467308906498057,0.08584769670127201,0.06249539558394794,0.03610984621827896
MDEwOlJlcG9zaXRvcnk4MTI4MTgzMQ==,0.9373093148164602,0.7585219159511923,0.8360564120648243,0.3358640087567756,0.9745121970735513,0.18616367857202176,0.0010541644174618765,0.15767739366288294,0.9999999999999998,0.35382988529466447,0.9400314564938893,0.9400314564938881,0.6816669020339107,0.9482342223721971,0.9633621541647183,0.08013085831954202,0.8766688013959819,0.8338980560828851,0.7866043899528654,0.3439171532334357,0.9332347878213038,0.9391641288563697,0.9807382014168307,0.6238630342273752,0.9770677554975289,0.9471502465696422,0.9850630236957153,0.9427595539922136,0.7837091211433084,0.5821341431074278,0.6866707175689589,0.9318966125237753,0.8810320556492182,0.0661142522686137,0.02903697435800029,0.6613087048984414,0.957395759124658,0.9320690174302947,0.777560682231743,0.9154448949595776,0.9815011380387565,2.5118417578568164E-4,0.9170699420791459,0.5446551037425743,0.18114600550307983,0.9834355610015221,0.8526801096684951,0.962895814090018,0.934962561989581,0.9103845680497205,0.9288140560057458,0.9467138751455996,0.003641163261797992,2.503487323007374E-4,0.010696839080557168,0.9164461444577683,0.7945717767591989,0.9471207046674489,0.9324256151373477,0.9795696637184563,0.9738233188713662,0.9266766121222616,0.906697720118462,0.1667787106851947,0.9192442677387448,0.5846836388053906,0.9185341790147356,0.9329331024802081,0.0953695036265584,0.1455514931946143,0.9582465019667914,0.9486377500448911,0.6236010782197409,0.05847020415268835,0.9399890329982866,1.6985845579228562E-5,0.940327164429179,0.954506095905834,0.20286502502123524,0.8740821410656333,0.979889979722715,0.9351064615916148,0.0020738637072574345,0.7000474682338033,0.9421855054767331,0.7626058826601135,0.9355495926688344,0.9565149247973977,8.945154109262821E-4,0.4893112310354351,0.869952569173564,0.31742592298378564,0.9851432046446337,0.9829680857262537,0.6637449353882658,0.4310350035654078
MDEwOlJlcG9zaXRvcnk4MzAwMDY3OQ==,0.35056359131123765,0.33749328175861487,0.31520869642208255,0.11809767506136815,0.3350705528223181,0.15557987289647743,0.16708524633535732,0.05299860919961316,0.35382988529466447,1.0,0.3462870977842668,0.3462870977842663,0.2893027990629566,0.37012066693262663,0.3446320618698442,0.11317468007864549,0.3097478004731569,0.3934959113114176,0.3015081798285186,0.16734263371723637,0.34222220500991307,0.34849196351370715,0.37176279187952366,0.34220477837594004,0.3501733186701311,0.3479311199557943,0.34749041260888835,0.40737626774855656,0.3017687975657314,0.1593685263894932,0.24047339844319893,0.3741222852220665,0.35393705598107106,0.07141837008445855,0.017607828887559886,0.27990653465486354,0.3710244741437467,0.3433404561521019,0.33297877007516646,0.3538879171910743,0.37979834376357513,0.058983991060632644,0.3377588593783538,0.1992731875128648,0.083258958206681,0.36612223632210933,0.39660824797930266,0.36879860972268813,0.34206410151388794,0.3319272956554291,0.3763344065591271,0.3580741247524538,2.7894605929624886E-5,0.007945400064382331,0.06881079395358351,0.3237219985922757,0.2834562657785502,0.3741931792251517,0.354957729866166,0.35961377822781365,0.3483194288445443,0.34117080448002884,0.35703784698542096,0.0785639987738606,0.39145445245000215,0.24020706738791772,0.39218742636232,0.36120341060131794,0.10902068867669856,0.1651015547947226,0.3490501344369389,0.31726778915431597,0.25062258037904667,0.03333619546116033,0.34627418986709635,0.0032383806908543866,0.35194088139689167,0.3742647638540491,0.1275759208014365,0.3386458799298567,0.35512983018943567,0.3589264417203325,0.0869252398489546,0.2290531934544766,0.3485184437730961,0.3181731802003298,0.31031791355143634,0.349435279305279,0.05908643928304496,0.14219495708208452,0.34831073477042823,0.08831835375967437,0.35851378200297956,0.3607509083895497,0.2912380601495626,0.22229162360359567
