"id","repo_id","committer","message","comment_count","verification"
"1","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","[maven-release-plugin] prepare for next development iteration","0","0"
"2","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","[maven-release-plugin] prepare release oshi-parent-5.1.1","0","0"
"3","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","5.1.1 Release","0","0"
"4","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Refactor PerfCounterQuery classes and fix memory leak (#1245)","0","1"
"5","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Add additional debug for possible race condition","0","0"
"6","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Merge pull request #1242 from oshi/dependabot/maven/guru.nidi-code-assert-0.9.11","0","1"
"7","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Bump code-assert from 0.9.10 to 0.9.11

Bumps [code-assert](https://github.com/nidi3/code-assert) from 0.9.10 to 0.9.11.
- [Release notes](https://github.com/nidi3/code-assert/releases)
- [Commits](https://github.com/nidi3/code-assert/compare/code-assert-parent-0.9.10...code-assert-parent-0.9.11)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>","0","1"
"8","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Update FAQ.md","0","1"
"9","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Update README.md","0","1"
"10","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Udev unref return types fix","0","0"
"11","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Update FUNDING.yml","0","0"
"12","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Implement code-assert, fix javadocs (#1241)","0","1"
"13","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Add a driver for proc/pid/statm (#1240)","0","1"
"14","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Update Udev to object oriented style (#1237)","0","1"
"15","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Add a Sponsor button. (#1236)","0","0"
"16","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Conform WTSapi32 and Netapi32 to JNA commit","0","0"
"17","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","[maven-release-plugin] prepare for next development iteration","0","0"
"18","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","[maven-release-plugin] prepare release oshi-parent-5.1.0","0","0"
"19","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","5.1.0 Release","0","0"
"20","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Shorten memoizer test","0","0"
"21","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","CI fixes","0","0"
"22","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Reformat source","0","0"
"23","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Test on arm64","0","0"
"24","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Javadocs","0","0"
"25","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Reformat","0","0"
"26","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Add OSSessions (#1231)","0","1"
"27","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Add messages to unit tests in GlobalMemoryTest.Java (#1235)","0","1"
"28","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Added assert statements to ParseUtil to improve coverage (#1234)","0","1"
"29","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Added assert statements to CentralProcessorTest to improve coverage (#1233)","0","1"
"30","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Issue #1215, Added messages to unit tests in NetworkParams (#1232)

* Issue #1215, Added messages to unit tests in NetworkParams

* Correcting PR number in change log","0","1"
"31","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Enhancing unit test case message, first time contribution for open so… (#1226)

* Enhancing unit test case message, first time contribution for open source project !

* Updating test case messages as per review comments

* Updating test case messages as per review comments v2

* Updating test case messages as per review comments v3

* Format whitespace

Co-authored-by: Daniel Widdis <widdis@gmail.com>","0","1"
"32","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Change linux swapin/swapout counters to read only swaps (#1229)","0","1"
"33","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Added messages for Central Processor's unit tests (#1228)","0","1"
"34","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Add junit message for DisksTest.java & DisplayTest.java (#1225)

* add junit message for DisksTest and DisplayTest

* Update CHANGELOG.md

* Update DisplayTest.java assertion methods","0","1"
"35","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Add messages to unit test assertions in ComputerSystemTest.java (#1224)","0","1"
"36","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow"," (Issue #1215) Added messages to unit test assertions in GraphicsCardTest.java (#1222)

* Added messages to unit test assertions in GraphicsCardTest.java

* Added messages to unit test assertions in GraphicsCardTest.java

* Updated pull request number

* Updated pull request number

* Added an extra space after here","0","1"
"37","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Don't run coverity on windows branch","0","0"
"38","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","[maven-release-plugin] prepare for next development iteration","0","0"
"39","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","[maven-release-plugin] prepare release oshi-parent-5.0.2","0","0"
"40","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","5.0.2 Release","0","0"
"41","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Fixed leak in WindowsPowerSource (#1220)

* Fixed leak in WindowsPowerSource

* Fixed the 'for' loop and 'if' condition

* fixed indentation","0","1"
"42","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Only get primary group on WindowsOSProcess (#1219)","2","1"
"43","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Actually return the non-null objects created (#1218)","0","1"
"44","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Added messages to unit test assertions in NetworksTest.java (#1216)","0","1"
"45","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Fix : fixed the broken links in CHANGELOG.MD (#1212)","0","1"
"46","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Use path for Linux mountpoint (#1214)","0","1"
"47","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","Fix NPE on no partitions (#1209)","0","1"
"48","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Test Windows on Travis CI","0","0"
"49","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Update FAQ with more SIGAR comparisons","0","0"
"50","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","web-flow","More links in CONTRIBUTING doc","0","1"
"51","MDEwOlJlcG9zaXRvcnkzNDA3MTE0","dbwiddis","Disable shallow clone","0","0"
