repo_id,name,owner,forks_url,description,language,forks_count,stargazers_count,watchers_count,size,open_issues_count,has_wiki,pushed_at,created_at,updated_at,subscribers_count,license,html_url
MDEwOlJlcG9zaXRvcnk0MzI2MTE3MQ==,dacara,SoltauFintel,https://api.github.com/repos/SoltauFintel/dacara/forks,SQL tool,Java,0,0,0,91,0,1,3/29/2016 21:28,9/27/2015 19:24,11/12/2017 17:58,2,null,https://github.com/SoltauFintel/dacara
MDEwOlJlcG9zaXRvcnk0MzYyODQ0Mw==,jrelex,tomazst,https://api.github.com/repos/tomazst/jrelex/forks,Desktop application to explore database data using relations,Java,1,0,0,273,0,1,10/10/2017 12:00,10/4/2015 7:21,10/2/2017 8:10,1,null,https://github.com/tomazst/jrelex
MDEwOlJlcG9zaXRvcnk0OTg5Njg4MQ==,marklogic-data-hub,marklogic,https://api.github.com/repos/marklogic/marklogic-data-hub/forks,The MarkLogic Data Hub: documentation ==>,Java,101,107,107,159968,253,0,6/7/2020 3:59,1/18/2016 18:38,5/29/2020 17:50,30,"{""key"": ""other"", ""name"": ""Other"", ""spdx_id"": ""NOASSERTION"", ""url"": null, ""node_id"": ""MDc6TGljZW5zZTA=""}",https://github.com/marklogic/marklogic-data-hub
MDEwOlJlcG9zaXRvcnk2NzQwMDg0OA==,react-java-goos,jiangxy,https://api.github.com/repos/jiangxy/react-java-goos/forks,配合React通用后台的小工具，自动生成后端接口,Java,14,39,39,9108,1,1,4/1/2017 6:03,9/5/2016 8:08,5/17/2020 14:43,6,"{""key"": ""apache-2.0"", ""name"": ""Apache License 2.0"", ""spdx_id"": ""Apache-2.0"", ""url"": ""https://api.github.com/licenses/apache-2.0"", ""node_id"": ""MDc6TGljZW5zZTI=""}",https://github.com/jiangxy/react-java-goos
MDEwOlJlcG9zaXRvcnk2NzY0MDYwOQ==,SimpleDB,mohitreddy1996,https://api.github.com/repos/mohitreddy1996/SimpleDB/forks,Basic Database Management System from skeleton code in JAVA. Testing done using JUnit.,Java,0,1,1,1507,0,1,10/2/2016 13:26,9/7/2016 20:22,11/29/2018 19:09,1,null,https://github.com/mohitreddy1996/SimpleDB
MDEwOlJlcG9zaXRvcnk3MTcwMDU4,flyway,flyway,https://api.github.com/repos/flyway/flyway/forks,Flyway by Redgate • Database Migrations Made Easy.,Java,1045,5127,5127,15351,179,0,6/4/2020 14:33,12/14/2012 18:43,6/6/2020 14:00,30,"{""key"": ""other"", ""name"": ""Other"", ""spdx_id"": ""NOASSERTION"", ""url"": null, ""node_id"": ""MDc6TGljZW5zZTA=""}",https://github.com/flyway/flyway
MDEwOlJlcG9zaXRvcnk4NDcxNjQyNA==,juhakudb,juhaku,https://api.github.com/repos/juhaku/juhakudb/forks,Spring DATA like Android ORM Library for SQLite dabaseses,Java,1,1,1,33444,0,1,3/17/2018 10:13,3/12/2017 10:10,10/1/2018 11:07,0,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/juhaku/juhakudb
MDEwOlJlcG9zaXRvcnk4NjE3NjkwMQ==,mysql-db-sync,arvindsasikumar,https://api.github.com/repos/arvindsasikumar/mysql-db-sync/forks,Synchronises two MySQL databases,Java,7,3,3,91,2,1,4/2/2017 5:37,3/25/2017 17:49,10/28/2019 3:48,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/arvindsasikumar/mysql-db-sync
MDEwOlJlcG9zaXRvcnk4NTc4MjAxNQ==,javaminibase-graphdb,haichao-yu,https://api.github.com/repos/haichao-yu/javaminibase-graphdb/forks,This is a graph DBMS based on Java Minibase,Java,0,0,0,747,0,1,6/9/2017 21:14,3/22/2017 3:42,5/31/2017 2:47,2,null,https://github.com/haichao-yu/javaminibase-graphdb
MDEwOlJlcG9zaXRvcnk4NTUxMTU4Mw==,dbms,berkerol,https://api.github.com/repos/berkerol/dbms/forks,"Database Management System for storing integers, reals and strings in text files",Java,0,0,0,11519,0,1,9/30/2017 8:03,3/19/2017 21:54,12/21/2017 6:34,2,"{""key"": ""gpl-3.0"", ""name"": ""GNU General Public License v3.0"", ""spdx_id"": ""GPL-3.0"", ""url"": ""https://api.github.com/licenses/gpl-3.0"", ""node_id"": ""MDc6TGljZW5zZTk=""}",https://github.com/berkerol/dbms
MDEwOlJlcG9zaXRvcnk4Nzc0MzQzNA==,disslibrary,krempelra,https://api.github.com/repos/krempelra/disslibrary/forks,This is the core library of my dissertation it provides two mode Projection tools,Java,0,0,0,17992,0,1,9/4/2017 13:47,4/9/2017 22:21,4/21/2017 14:55,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/krempelra/disslibrary
MDEwOlJlcG9zaXRvcnk4Nzg0ODQwMQ==,employee-management-system,diksha-bhatia,https://api.github.com/repos/diksha-bhatia/employee-management-system/forks,Java Project.,Java,0,2,2,7,0,1,4/10/2017 19:33,4/10/2017 19:14,12/20/2017 10:29,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/diksha-bhatia/employee-management-system
MDEwOlJlcG9zaXRvcnk4NzU1NjgxNw==,obevo,goldmansachs,https://api.github.com/repos/goldmansachs/obevo/forks,Obevo is a database deployment tool that handles enterprise scale schemas and complexity,Java,36,155,155,5385,77,1,5/26/2020 20:41,4/7/2017 14:48,5/21/2020 7:32,28,"{""key"": ""apache-2.0"", ""name"": ""Apache License 2.0"", ""spdx_id"": ""Apache-2.0"", ""url"": ""https://api.github.com/licenses/apache-2.0"", ""node_id"": ""MDc6TGljZW5zZTI=""}",https://github.com/goldmansachs/obevo
MDEwOlJlcG9zaXRvcnk4ODQzMDcyMQ==,DBPatcher,endeavourhealth,https://api.github.com/repos/endeavourhealth/DBPatcher/forks,Database (SQL) patching tool for Endeavour Health projects,Java,1,0,0,64,0,1,5/22/2017 8:34,4/16/2017 17:20,4/21/2017 15:13,2,"{""key"": ""apache-2.0"", ""name"": ""Apache License 2.0"", ""spdx_id"": ""Apache-2.0"", ""url"": ""https://api.github.com/licenses/apache-2.0"", ""node_id"": ""MDc6TGljZW5zZTI=""}",https://github.com/endeavourhealth/DBPatcher
MDEwOlJlcG9zaXRvcnk5MDI0NDc4OA==,Database-Management,JuiMin,https://api.github.com/repos/JuiMin/Database-Management/forks,Works from a course completed on databases and data management,Java,0,0,0,620,0,1,5/4/2017 9:21,5/4/2017 9:20,1/25/2018 22:00,2,null,https://github.com/JuiMin/Database-Management
MDEwOlJlcG9zaXRvcnk5MjYzMjQ4Ng==,SimpleDB,iamxpy,https://api.github.com/repos/iamxpy/SimpleDB/forks,UC Berkeley's Database class CS186: Implement A Simple Database Management System,Java,39,130,130,7772,2,1,9/4/2019 1:42,5/28/2017 1:01,6/5/2020 3:13,5,null,https://github.com/iamxpy/SimpleDB
MDEwOlJlcG9zaXRvcnk5NDM5Mjc0Ng==,DataBase-Management-System,AmrHendy,https://api.github.com/repos/AmrHendy/DataBase-Management-System/forks,"A database management system (DBMS) is a computer software application that interacts with the user, other applications, and the database itself to capture and analyze data. A general-purpose DBMS is designed to allow the definition, creation, querying, update, and administration of databases.",Java,0,0,0,46,0,1,5/3/2018 12:18,6/15/2017 2:47,5/3/2018 12:18,1,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/AmrHendy/DataBase-Management-System
MDEwOlJlcG9zaXRvcnk5NDY1NDkwMA==,devcrops-dbreverse-maven-plugin,devcrops-official,https://api.github.com/repos/devcrops-official/devcrops-dbreverse-maven-plugin/forks,Maven plugin that allows you to make a database dbreverse and version it on a git repository.,Java,0,0,0,44,0,1,6/18/2017 9:54,6/17/2017 23:39,6/18/2017 9:21,2,null,https://github.com/devcrops-official/devcrops-dbreverse-maven-plugin
MDEwOlJlcG9zaXRvcnk5NTQwNjI4NA==,hsqldb-reading-notes,Dectinc,https://api.github.com/repos/Dectinc/hsqldb-reading-notes/forks,Reading notes of HSQLDB,Java,0,0,0,5260,0,1,6/26/2017 3:57,6/26/2017 3:46,6/26/2017 4:01,2,null,https://github.com/Dectinc/hsqldb-reading-notes
MDEwOlJlcG9zaXRvcnk5OTAyNTQ2Mg==,CricWorld,arf111,https://api.github.com/repos/arf111/CricWorld/forks,,Java,1,0,0,356,0,1,8/9/2017 14:22,8/1/2017 17:15,10/21/2018 19:47,2,null,https://github.com/arf111/CricWorld
MDEwOlJlcG9zaXRvcnk5OTkyNzA5MQ==,Payroll-System,sakshamyadav,https://api.github.com/repos/sakshamyadav/Payroll-System/forks,High School Software Design and Development Project - Payroll System,Java,0,0,0,1005,0,1,8/10/2017 17:26,8/10/2017 13:38,8/10/2017 17:54,2,null,https://github.com/sakshamyadav/Payroll-System
MDEwOlJlcG9zaXRvcnk5OTM1OTU0NQ==,CustomerInfo,ahmedsabrymohamed,https://api.github.com/repos/ahmedsabrymohamed/CustomerInfo/forks,"This app uses firebase to make company branches mangement system to store the information of the coustomers for each branch and minuplate them (Update,Delete,Insert).",Java,0,1,1,624,0,1,4/13/2018 15:40,8/4/2017 16:07,1/5/2019 13:36,0,null,https://github.com/ahmedsabrymohamed/CustomerInfo
