repo_id,name,owner,forks_url,description,language,forks_count,stargazers_count,watchers_count,size,open_issues_count,has_wiki,pushed_at,created_at,updated_at,subscribers_count,license,html_url
MDEwOlJlcG9zaXRvcnk2Mjk5OTMxOA==,CourseWorks,Ajithkumarsekar,https://api.github.com/repos/Ajithkumarsekar/CourseWorks/forks,All course lab works,Java,1,5,5,17552,0,1,7/14/2019 11:50,7/10/2016 13:13,5/30/2020 11:36,1,null,https://github.com/Ajithkumarsekar/CourseWorks
MDEwOlJlcG9zaXRvcnk2OTAyNDg1MQ==,OS-Lab02,acterics,https://api.github.com/repos/acterics/OS-Lab02/forks,,Java,0,1,1,28,0,1,10/26/2016 0:03,9/23/2016 12:57,3/17/2019 20:43,3,null,https://github.com/acterics/OS-Lab02
MDEwOlJlcG9zaXRvcnk3Mjk4NjUyOA==,CPUScheduler,ltaoj,https://api.github.com/repos/ltaoj/CPUScheduler/forks,操作系统调度算法，JavaFX实现、CPUScheduler,Java,2,0,0,118,0,1,2/27/2018 6:41,11/6/2016 11:34,7/29/2019 14:55,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/ltaoj/CPUScheduler
MDEwOlJlcG9zaXRvcnk3Mzk1Nzc3NA==,osscheduling,palaganaskurl,https://api.github.com/repos/palaganaskurl/osscheduling/forks,Operating System Algorithms Simulator,Java,0,0,0,79,0,1,12/27/2016 17:19,11/16/2016 20:21,3/23/2017 17:38,1,"{""key"": ""gpl-3.0"", ""name"": ""GNU General Public License v3.0"", ""spdx_id"": ""GPL-3.0"", ""url"": ""https://api.github.com/licenses/gpl-3.0"", ""node_id"": ""MDc6TGljZW5zZTk=""}",https://github.com/palaganaskurl/osscheduling
MDEwOlJlcG9zaXRvcnk3NzM5Nzc3Mw==,Operating-System-Algorithms-in-java,Sadique14,https://api.github.com/repos/Sadique14/Operating-System-Algorithms-in-java/forks,Followed Book: Modern Operating Systems- Andrew S. Tanenbaum,Java,0,1,1,80,0,1,3/11/2017 5:38,12/26/2016 17:27,7/12/2018 21:35,1,null,https://github.com/Sadique14/Operating-System-Algorithms-in-java
MDEwOlJlcG9zaXRvcnk3ODkzODg1MA==,srv-os,Tom7353,https://api.github.com/repos/Tom7353/srv-os/forks,html5 operating system for servers,Java,0,0,0,2979,0,1,5/30/2017 10:41,1/14/2017 12:26,6/5/2018 15:22,2,"{""key"": ""mit"", ""name"": ""MIT License"", ""spdx_id"": ""MIT"", ""url"": ""https://api.github.com/licenses/mit"", ""node_id"": ""MDc6TGljZW5zZTEz""}",https://github.com/Tom7353/srv-os
MDEwOlJlcG9zaXRvcnk4MjYxMTI5OA==,myos,zacker330,https://api.github.com/repos/zacker330/myos/forks,lessons for learning Operating System,Java,0,0,0,11,0,1,2/25/2017 7:19,2/20/2017 22:57,2/20/2017 22:58,1,null,https://github.com/zacker330/myos
MDEwOlJlcG9zaXRvcnk4MTg3MzIyOQ==,OperatingSystemsHw,rygler,https://api.github.com/repos/rygler/OperatingSystemsHw/forks,This is a repo for my Operating Systems HW,Java,0,0,0,9,0,1,3/6/2017 2:39,2/13/2017 21:22,3/6/2017 2:45,2,null,https://github.com/rygler/OperatingSystemsHw
MDEwOlJlcG9zaXRvcnk4MTI4MTgzMQ==,UniversityAssignments,sydturn,https://api.github.com/repos/sydturn/UniversityAssignments/forks,"Contains various projects from throughout my Computer Science degree including but not limited to course work from: Java, Data Structures, Assembly, C++, Android, Software development, Operating systems(threading and scheduling algorithms), etc.",Java,0,0,0,43,0,1,2/8/2017 3:16,2/8/2017 3:10,2/8/2017 3:16,1,null,https://github.com/sydturn/UniversityAssignments
MDEwOlJlcG9zaXRvcnk4MzAwMDY3OQ==,Jinix,rowland66,https://api.github.com/repos/rowland66/Jinix/forks,Jinix operating system kernel,Java,0,2,2,321,0,1,2/16/2019 1:50,2/24/2017 4:19,5/3/2020 4:09,0,null,https://github.com/rowland66/Jinix
MDEwOlJlcG9zaXRvcnk4NjYwNjk3Mw==,MemoryManagement,nishnoob,https://api.github.com/repos/nishnoob/MemoryManagement/forks,An algorithm to store segments of data in memory.,Java,0,0,0,1,0,1,3/29/2017 16:50,3/29/2017 16:48,5/18/2017 7:06,2,null,https://github.com/nishnoob/MemoryManagement
